word,count,sqrt_count,tf_score,char_freq_score
stool,25,5.0,0.5690005659817304,32.68624120359136
ports,123,11.090536506409418,1.2621043098376004,57.680174714875015
mamma,17,4.123105625617661,0.46920988691578114,1.0919679689395776
acing,1,1.0,0.11380011319634609,62.10466715198575
hosts,591,24.310491562286437,2.7665366916470133,34.085577934158366
delve,15,3.872983346207417,0.44074594320596727,18.862735581978484
pushy,4,2.0,0.22760022639269217,42.17422955593302
crawl,48,6.928203230275509,0.7884303118526436,54.04028148507643
doors,307,17.52141546793523,1.9939390636112384,33.24435816549381
nifty,30,5.477225575051661,0.6233088904428009,43.031626627841135
yield,172,13.114877048604,1.4924744926872966,68.30866294588691
fleet,652,25.534290669607408,2.9058051685897266,21.92833454663107
oiler,18,4.242640687119285,0.48281299044559817,86.37871066893149
rival,692,26.30589287593181,2.993613587011994,66.31885464693035
camps,395,19.87460691435179,2.2617325165861164,56.078621693763644
drink,565,23.769728648009426,2.7049978107899033,47.46420771657365
tents,81,9.0,1.024201018767115,52.34166464450376
erect,27,5.196152422706632,0.5913227338894826,27.54185877214268
joint,1330,36.46916505762094,4.150195111733493,54.04028148507643
slots,54,7.3484692283495345,0.8362566300060431,37.45045700881663
sneak,130,11.40175425099138,1.2975209243997392,80.98358003720779
recur,11,3.3166247903554,0.37743227657225215,48.59661894362209
hicks,178,13.341664064126334,1.5182828807251998,47.545094232791385
loser,333,18.24828759089466,2.07665719348329,81.7439132896546
evens,9,3.0,0.34140033958903826,26.126344738332115
taxes,155,12.449899597988733,1.4167999835342615,79.22834263528267
ulcer,45,6.708203932499369,0.7633943668626022,67.27331553829976
barbs,4,2.0,0.22760022639269217,51.637951953409356
gains,759,27.54995462791182,3.135187955210564,70.7352584324193
twist,174,13.19090595827292,1.5011265912138143,37.19162015691984
imams,19,4.358898943540674,0.4960431931863621,59.57291919437029
texts,335,18.303005217723125,2.082884065610205,45.51484267572595
hamza,17,4.123105625617661,0.46920988691578114,11.27558036075386
deeds,183,13.527749258468683,1.5394593969055228,17.00234570897031
stake,136,11.661903789690601,1.327125971351688,82.00275014155139
cloth,149,12.206555615733702,1.3891074108079895,45.93545256005822
mecca,154,12.409673645990857,1.4122222656434722,60.60826660195744
sworn,90,9.486832980505138,1.0796026670563141,54.38809350481275
usury,11,3.3166247903554,0.37743227657225215,30.575103130308168
rains,471,21.702534414210707,2.469750872984775,77.92606972417695
grief,65,8.06225774829855,0.9174858443744932,66.4240071180134
reins,31,5.5677643628300215,0.6336122147406381,81.59831756046266
cried,46,6.782329983125268,0.7718299198146276,71.78678314325002
tribe,365,19.1049731745428,2.174148109876126,72.19930437596052
sever,28,5.291502622129181,0.602173597377063,29.628730890560544
fatwa,10,3.1622776601683795,0.35986755568543805,15.52212246218555
ruler,117,10.816653826391969,1.2309364298490961,51.14454420448111
fasts,2,1.4142135623730951,0.16093766348186608,39.585861036965134
ranks,468,21.633307652783937,2.4618728596981923,62.41203591361318
skill,169,13.0,1.4794014715524992,37.88724419639246
plots,96,9.797958971132712,1.1150088400080573,54.92194451184986
grain,166,12.884098726725126,1.4662118935342179,67.41082261586992
exile,224,14.966629547095765,1.703204136627276,30.20302515570654
frost,370,19.235384061671343,2.18898888359339,55.28593383482973
eased,63,7.937253933193772,0.9032603960655945,48.87163309876243
freed,144,12.0,1.365601358356153,22.486451508533527
craft,173,13.152946437965905,1.496806793505997,54.19396586589015
fated,40,6.324555320336759,0.7197351113708761,73.38833616436139
